EI Elec. Inst.,,19265 65522,--,14370,--,19609 28103,,--,--,15002,--,--,9658,--,--,6969,--,17513 64532,,--,95603 59507,,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,16979,--,33996 12262,--,--,16611 143581,,--,6959,--,--,5950,--,--,4251,--,8475,56341,--,82321 49756,,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,4288,--,--,4680,5810,6637,5141,--,--,2507,--,4593,2940,--,4514,2232,5573,3953,19786 26549 27461 19777,,,--,29133,
IM Ind. Engg.,,31155,--,--,50595,--,--,--,--,148036 29475,--,--,31224,--,71873 28332 58710 35911 105004,,,,,--,--,109445,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,,74739,--,--,40946,--,79687 48685,--,--,42363,--,--,39466,--,--,24213 75344 61645 103188,,,,--,131221 97265,,--,--,
ME Mechanical,,32386,--,--,32225,--,44504 30769,--,--,25866,--,38371 25363,,--,--,16106 38490 32039 90682 114210134787 93638,,,,,,,--,114054,
SE Aero Space,,--,--,--,17170 26501,--,9066,--,25720,7936,--,--,7816,--,--,6276,16595 11573 38634,,,--,--,25614,--,74098,
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
7,E007,Dayananda Sagar College of Engineering,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,20572,--,--,18269,--,19983 20854,--,--,17546,--,--,17814,--,--,16112 23034 17733 49201,,,,--,64411 44603,,--,--,
AI Artificial,,7375,--,--,7526,--,8542,--,--,--,5586,11616,--,5472,--,--,4865,--,8485,31734,--,34357 33368,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AU Automobile,,85972,--,--,63076 120225,--,71404,--,165920 53832,,--,--,55215,--,--,51376 56864 56841 129623,,,,--,141867 69486,,--,--,
BT Bio Technology,,25508,--,--,29651,--,60915 37618,--,--,24366,--,--,23270,--,--,20059 43460 33287 78322,,,,--,92150 69991,,--,--,
CB Comp. Sc. and,,11603,--,--,13766,--,--,--,--,--,--,--,--,7983,--,--,7201,19874,9240,47320,--,64701 51428 141114 88375,,,
Bus Sys.,,,,,,,,,,,,,,,,,,,,,,,,,
CD Computer Sc.,,14654,--,45700 13594,--,--,9651,--,--,8708,--,16627,8521,--,--,7384,22427 13668 49263,,,--,--,48824,--,--,
and Design,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,104055,--,--,97671 112071123639107774,,,--,--,84624,--,--,75459,--,88946 69264 75731 81455 128877158374155420111293,,,,,,,,--,159591,
CH Chemical,,47987 119398134544 40765,,,--,--,73184 147955,,--,45574,--,--,37406,--,--,35212,--,39337 90588,,--,--,82162,--,--,
CS Computers,,8334,--,8647,6963,9948,8025,7559,--,9044,4798,--,--,4754,--,7524,3836,8505,6100,25397 25790 30577 29715 30190 31510,,,,,
CY CS- Cyber,,--,--,--,8938,--,9841,12291 33606,--,6822,--,--,5927,--,--,5326,--,9133,36061,--,53914 37075,,--,--,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
