EE Electrical,,11516,--,--,11671,--,21902,--,--,--,10112,--,--,12763,--,--,8465,28501 16497 22522,,--,46907 15332,,--,--,
EI Elec. Inst.,,--,--,--,22887,--,34744 20572,--,--,--,--,--,14209,--,--,11470 18603 28108 58857,,,,--,140192 33983,,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,--,--,--,19677,--,34603 14064,--,--,10761,--,--,9455,--,--,7449,33689 15973 50700,,,--,54524,--,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,4167,--,--,3083,8157,3346,3897,--,--,2039,--,2898,2096,6533,3442,1534,4315,2865,11743,--,16831,6946,--,--
IM Ind. Engg.,,44327,--,--,49101,--,74026 81530,--,--,42632,--,--,49759,--,--,42492 86274 53079 98958,,,,--,--,--,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,,62384,--,--,40800,--,131357 38171,--,--,32881,--,--,35656,--,--,18041 86414 41538 66956,,,,--,136880,--,--,--,
ME Mechanical,,45327,--,--,46966,--,51953 38070,--,88173 33439,,--,--,37807,--,50764 29510 62946 45802 72879 103397 85008 65117,,,,,,,,--,--,
7,E007,Dayananda Sagar College of Engineering,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,19647,--,--,21897,--,27967 25501,--,--,15481,--,--,17267,--,--,14957 27047 24096 39931,,,,--,58372,--,--,--,
AI Artificial,,7582,--,--,8383,--,--,12276,--,--,--,--,--,5683,12297,--,4830,11233,6858,23720,--,--,14397,--,27934
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AU Automobile,,83833,--,--,77913,--,106006,--,--,--,60319,--,--,60626,--,--,58059,--,80445 117797,--,--,111752,--,--,
BT Bio Technology,,--,--,--,26204,--,49780 38635,--,--,21908,--,--,33620,--,--,18131,--,41996 46681,,--,77584 35731,,--,--,
CB Comp. Sc. and,,11751,--,--,9464,30774 21726 16468,,--,--,8838,--,--,--,--,--,6744,--,13966 40625,,--,--,15709,--,--,
Bus Sys.,,,,,,,,,,,,,,,,,,,,,,,,,
CD Computer Sc.,,13100,--,--,10218,--,21937 12878,--,--,9226,--,--,--,--,--,6962,18664 12194 34513,,,--,42404 19831,,--,--,
and Design,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,88425,--,--,93071 117823106550104126,,,--,--,81648,--,--,83081,--,113519 77366 97400 93632 97342 136217148681 80352,,,,,,,,--,97345,
CH Chemical,,67744,--,147156 57710,--,100773 51724,,--,--,44217,--,--,51300,--,--,39485 46061 72361 100195,,,,--,--,--,--,123171,
CS Computers,,6090,--,7736,4270,9866,6852,5310,--,--,3273,12116,4854,3509,--,4959,3100,7544,4579,15780 19962 18627,,9173,--,--,
CY CS- Cyber,,--,--,--,6993,--,--,13647,--,--,5393,--,9368,6296,--,--,5333,16009,8739,30072,--,--,--,--,--
Security,,,,,,,,,,,,,,,,,,,,,,,,,
DS Comp. Sc. Engg- 10857,,--,--,7423,--,8920,10620,--,--,5293,--,--,6000,--,--,5159,--,7648,28066,--,39526,--,36711,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,12950 31079 18728 13757 20184 17240 18884,,,,,,--,--,9537,--,12104 10240,,--,13220,9179,17871 11977 40209 47834 51919 16711,,,,,,--,--,
EE Electrical,,35559,--,38052 31133,--,38590 30481,,--,75725 27425,,--,--,28883 40626,,--,27286 32259 30468 57187,,,,--,59360 31059,,--,--,
EI Elec. Inst.,,41138,--,--,36689,--,69423 38149,--,--,34124,--,--,30951,--,--,30561 44376 40518 92340,,,,--,134595,--,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,32257,--,--,33679,--,36304 27161,--,163112 27479,,--,--,28107,--,40675 26912 28496 33746 91740 172023147155 43102,,,,,,,,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,7467,--,8265,6390,10721,8374,10356,--,16744,4793,--,--,5183,--,6238,4668,10572,5855,23998 36844 36205 11814,,,--,--,
MD Med.Elect.,,--,--,--,53855,--,126723 53594,--,--,39639,--,--,43846,--,--,37604 74711 92307 112858,,,,--,--,69234,--,--,
ME Mechanical,,83307,--,--,87503 129781120681 83595,,,--,131913 70160,,--,105013 78452,,--,107785 69265 90065 103523119139,,,,,--,--,95554,--,--,
8,E008,Bangalore Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENGINEERING CUTOFF RANK OF CET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,
8,E008,Bangalore Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,8848,--,--,9423,--,13906,9561,--,--,7056,--,--,6836,--,--,6629,16985,9422,35197,--,41881,--,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,86992,--,--,99313,--,128604 97132,--,150931 86740 129133102468 87845,,,,,--,--,86418 107008101069111539,,,,--,124182102289,,--,--,
CS Computers,,5114,--,9546,5207,10520,7370,7235,--,8331,3994,--,--,4303,--,6214,3747,8641,5191,17409 27533 22287,9870,,--,--,
DS Comp. Sc. Engg- 13642,,,--,--,9034,29963,--,11091,--,--,6187,--,--,--,--,--,5469,--,9088,27545,--,43880 15551,--,37754,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,13533,--,--,14137 25422 14882 22686,,,--,--,10669,--,--,11601,--,13274 10265 16749 12569 45721 53871 52776 24569,,,,,,,,--,26134,
EE Electrical,,--,--,--,31898,--,36485 31932,--,--,25789,--,--,27521,--,--,23990,--,28847 50952,,--,--,45016 51160,,--,
EI Elec. Inst.,,39581,--,--,46231,--,63242 39613,--,--,37370,--,--,37768,--,--,37332 77467 44271 91377,,,,--,141317,--,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,36781,--,--,32436,--,44454 41308,--,--,26162,--,--,28007,--,--,24817 56348 36389 64211,,,,--,141439,--,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
EV EC,Engg(VLSI,24758,--,139392 29959,--,--,42742,--,--,23858,--,--,22886,--,--,22091,--,23103 94659,,--,--,57189,--,--,
Design),,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,6821,--,--,7951,--,8897,7750,--,17580,5606,--,--,6086,12328,--,5573,10723,7026,26090,--,35911 10964,--,--,
IO CS- Internet of 13826,,,--,--,11045,--,29052 16458,--,--,8570,--,--,9709,--,--,7599,32871 12887 38789,,,--,46257,--,--,--,
Things,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,99890,--,--,97899,--,122871 92926,--,--,74355,--,108695 81495,,--,131107 72953 122361 96329 125898,,,,,--,154797 99736,,--,--,
RI Robotics and AI 17769,,,--,44362 15001,--,--,18034,--,--,12115,--,15472 12909,,--,--,11595 25644 14903 51071 136317,,,,,--,36160,--,--,
9,E009,P E S University (Ring Road Campus),,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
